yaw,r,theta,Fn_BEM,Ft_BEM,Fn_SVEN,Ft_SVEN,Fn_Castor,Ft_Castor
5.0,0.235125874557,200.0,5.810774515838193,4.943875338833613,7.533322047961472,5.956554646320729,8.19402278,6.1241506
5.0,0.235125874557,210.0,5.787899206032647,4.8920831354981,7.493747560640091,5.869773423464715,8.15172741,6.03813406
5.0,0.235125874557,220.0,5.758995705432174,4.82278623298681,7.450277109261961,5.767693841324454,8.10447215,5.93508779
5.0,0.235125874557,230.0,5.725038026024828,4.738445493841224,7.404331701751111,5.653821531781612,8.05358078,5.81850532
5.0,0.235125874557,240.0,5.687157094170888,4.641996126205381,7.357149842415566,5.531923277051032,8.0009166,5.69237078
5.0,0.235125874557,250.0,5.646595550188473,4.536712661022024,7.310090967146759,5.405893913155649,7.94834444,5.56089313
5.0,0.235125874557,260.0,5.604659557425433,4.426067418167845,7.264516735636252,5.279551097736249,7.89731223,5.42816574
5.0,0.235125874557,270.0,5.562670163676943,4.313592005500329,7.22178198985025,5.156639436111391,7.84917351,5.29815645
5.0,0.235125874557,280.0,5.5219167664506195,4.202750093545804,7.1830659633044895,5.040671166020215,7.80503801,5.17462611
5.0,0.235125874557,290.0,5.483615047317353,4.096827634794752,7.1492813294322985,4.9348464426564655,7.76610096,5.06100615
5.0,0.235125874557,300.0,5.448871328997004,3.998844161262446,7.121231055901323,4.842049826316676,7.73356235,4.96041988
5.0,0.235125874557,310.0,5.418654672550812,3.9114861651066546,7.0997817153423695,4.764750563089957,7.70844972,4.87557385
5.0,0.235125874557,320.0,5.3937772190864495,3.8370612071153114,7.085474619528951,4.704901128054015,7.69128933,4.80859722
5.0,0.235125874557,330.0,5.374882391553309,3.7774695995119596,7.078670588908225,4.663987202088532,7.6824528,4.76116373
5.0,0.235125874557,340.0,5.3624397499634835,3.734189446850029,7.079692033833044,4.643110773997599,7.68222244,4.73444081
5.0,0.235125874557,350.0,5.356744693496966,3.708270538129452,7.0885830922104525,4.64283733466565,7.69058731,4.72909298
5.0,0.258134591992,0.0,3.670344128511677,2.8185130509187193,4.714744577524608,3.3235976074872013,4.83845221,3.30428122
5.0,0.258134591992,10.0,3.6740518114620584,2.8253313510794946,4.730881912641428,3.350255377826592,4.85469387,3.32841489
5.0,0.258134591992,20.0,3.68265650027181,2.8449813054890587,4.751522010692461,3.389556113153995,4.87561129,3.36554882
5.0,0.258134591992,30.0,3.6959389406183596,2.8769962966291946,4.776014555995944,3.4404889772518543,4.90065185,3.41477949
5.0,0.258134591992,40.0,3.713556894988937,2.920602292425606,4.803639475540061,3.50170265827075,4.92910332,3.47486611
5.0,0.258134591992,50.0,3.7350473069124845,2.974718269783583,4.833589743845335,3.571562714791524,4.96012211,3.54423588
5.0,0.258134591992,60.0,3.759830814041281,3.0379604688235786,4.864932867946703,3.6481348149137207,4.99281667,3.62102709
5.0,0.258134591992,70.0,3.7872198602023213,3.108653556114438,4.896512570988343,3.729183616753793,5.02632755,3.7031143
5.0,0.258134591992,80.0,3.8164314691643435,3.1848519404070887,4.9274693775925495,3.812351957528272,5.05957708,3.78811103
5.0,0.258134591992,90.0,3.846605321084223,3.264374154646045,4.96907166575025,3.8987461455164816,5.09131321,3.87339752
5.0,0.258134591992,100.0,3.876827197936044,3.34485236031551,4.995853059724996,3.978568871476612,5.12039287,3.95627959
5.0,0.258134591992,110.0,3.9061572395755877,3.423797689546035,5.019022547170418,4.052630250205419,5.14594291,4.03409916
5.0,0.258134591992,120.0,3.9336618774009575,3.4986804471259676,5.03772683587297,4.118425310811695,5.16717411,4.1042747
5.0,0.258134591992,130.0,3.958447865721545,3.567022351163445,5.051306741334671,4.17370954152067,5.18339175,4.16440781
5.0,0.258134591992,140.0,3.979696557488351,3.626496242084551,5.059427835021139,4.216593618116345,5.19400161,4.21238859
5.0,0.258134591992,150.0,3.9966964834075744,3.675027281529877,5.061790354648699,4.245551580768943,5.19844075,4.24642324
5.0,0.258134591992,160.0,4.008872377424212,3.7108888046182824,5.058480436794743,4.259643772537006,5.19660153,4.26529287
5.0,0.258134591992,170.0,4.015809015918835,3.7327858206867375,5.0496743222433125,4.258437388385354,5.18871062,4.26838104
5.0,0.258134591992,180.0,4.0172685643946915,3.739919730052561,5.0356926010455005,4.241976941706702,5.17522694,4.25565798
5.0,0.258134591992,190.0,4.013200516231669,3.732029094574815,5.017056664827306,4.210919130218705,5.15659179,4.22758033
5.0,0.258134591992,200.0,4.003743730797802,3.709403137955955,4.9944352460025145,4.16639020468955,5.13352733,4.18521957
5.0,0.258134591992,210.0,3.9892205076710674,3.672866858795629,4.968519648554067,4.109948854444907,5.10680808,4.13008428
5.0,0.258134591992,220.0,3.9701230514932897,3.6237389719348374,4.940126314449046,4.043563955248736,5.07716644,4.06407829
5.0,0.258134591992,230.0,3.947093074391372,3.5637660930523065,4.910167852116039,3.9695050594442223,5.04539981,3.98941237
5.0,0.258134591992,240.0,3.920895637905918,3.495038404680623,4.879385743048829,3.890194354190926,5.01260958,3.90864306
5.0,0.258134591992,250.0,3.8923886402979493,3.4198932904919146,4.848641918932343,3.808151487754484,4.97994667,3.82445116
5.0,0.258134591992,260.0,3.8624895898172134,3.3408139701864283,4.81884471611702,3.725861065141361,4.94833129,3.73946966
5.0,0.258134591992,270.0,3.8321414466292274,3.2603299683894638,4.790883392387026,3.645755823034361,4.91860063,3.65623777
5.0,0.258134591992,280.0,3.8022793388275886,3.1809253611106656,4.765534472315868,3.570131744096245,4.89142386,3.57715109
5.0,0.258134591992,290.0,3.773799836874577,3.1049593054191935,4.743374308202076,3.5010821019080383,4.86748718,3.50441458
5.0,0.258134591992,300.0,3.7475341926240904,3.0346015847554986,4.724911385387331,3.440486384657097,4.84759163,3.44002885
5.0,0.258134591992,310.0,3.7242265218272217,2.9717840440939582,4.710760213623183,3.3899745448831826,4.83234961,3.38574057
5.0,0.258134591992,320.0,3.7045173700175114,2.9181670936004176,4.701296001816083,3.3508303170098395,4.82213775,3.34292477
5.0,0.258134591992,330.0,3.6889325190970244,2.875119130777922,4.696798761670119,3.3240547135014737,4.8171563,3.31264595
5.0,0.258134591992,340.0,3.6778763569734783,2.8437058992022637,4.697523707482604,3.31038525856894,4.8175441,3.29564471
5.0,0.258134591992,350.0,3.6716287421564298,2.8246865089138766,4.70353866795272,3.310210313147182,4.82337177,3.29236296
5.0,0.28853979201,0.0,5.917419336280577,3.6316714453588537,7.995870186183825,4.32726338453963,7.6381495,4.19912239
5.0,0.28853979201,10.0,5.9239463297949175,3.6397729210999303,8.023822004131029,4.358485462231921,7.6658214,4.22722397
5.0,0.28853979201,20.0,5.9391595028113775,3.663013479071573,8.059407908090542,4.404394300806374,7.70162998,4.27030068
5.0,0.28853979201,30.0,5.962690486525557,3.7008175988493535,8.101490488641835,4.463766562528497,7.74467266,4.32732104
5.0,0.28853979201,40.0,5.993877404037591,3.752274603840556,8.148559067978555,4.534967107760821,7.7936254,4.39681723
5.0,0.28853979201,50.0,6.031913696506986,3.816072044324349,8.199318730067853,4.616076381944267,7.84706202,4.47695573
5.0,0.28853979201,60.0,6.0756937612748185,3.8906050933852723,8.252053804458717,4.70483277768706,7.90348516,4.5655563
5.0,0.28853979201,70.0,6.123986875645287,3.9738589796990267,8.304754082534298,4.798543789677356,7.96130355,4.66016691
5.0,0.28853979201,80.0,6.17533836536424,4.063544772785415,8.356195046089766,4.8945375696689455,8.01871829,4.75807576
5.0,0.28853979201,90.0,6.228212790247998,4.157082360220919,8.425089897548816,4.994456500302352,8.07363986,4.85631003
5.0,0.28853979201,100.0,6.281109525327141,4.251626871573246,8.469098308612663,5.086385037881356,8.12400293,4.95171368
5.0,0.28853979201,110.0,6.332115054925213,4.344412276801455,8.50667678621061,5.171503745928317,8.16835187,5.04117856
5.0,0.28853979201,120.0,6.379814613860105,4.432334808147627,8.536488540886715,5.246901754380169,8.20523755,5.12173511
5.0,0.28853979201,130.0,6.422774973265792,4.512445824531566,8.557411706464386,5.310015835545473,8.23326856,5.1906394
5.0,0.28853979201,140.0,6.45961157227855,4.582027581263784,8.56918104904818,5.358751531353697,8.25167206,5.24550238
5.0,0.28853979201,150.0,6.488969385013725,4.638803602661647,8.57134176011102,5.391409561635509,8.25989505,5.28434817
5.0,0.28853979201,160.0,6.50991788927454,4.680743198412691,8.56425256120138,5.406953258924066,8.25749977,5.30574056
5.0,0.28853979201,170.0,6.521829541007992,4.706305251627587,8.548307099530092,5.404956717390835,8.24466557,5.30898473
5.0,0.28853979201,180.0,6.5242788104661855,4.714585354393256,8.52408575874933,5.385520409274119,8.2220169,5.29403339
5.0,0.28853979201,190.0,6.5171751465928836,4.70529063735684,8.492500027620373,5.349404160480909,8.19045812,5.26146815
5.0,0.28853979201,200.0,6.500767356615889,4.678753813637016,8.454696748282151,5.2978930562363855,8.15109416,5.21248537
5.0,0.28853979201,210.0,6.475632159252872,4.635916843074732,8.411777266667782,5.232749899473508,8.10527663,5.14885361
5.0,0.28853979201,220.0,6.442599422425733,4.578315635514707,8.364875766016938,5.156242911281132,8.0545539,5.07276035
5.0,0.28853979201,230.0,6.402601347288994,4.508077047572434,8.31561250484956,5.070906584703734,8.0004452,4.98676674
5.0,0.28853979201,240.0,6.357160077028444,4.427470593649821,8.26486229793469,4.979462045627674,7.94438157,4.89373218
5.0,0.28853979201,250.0,6.3077588957390365,4.339193045685822,8.214062341039503,4.884907053669761,7.8881277,4.79670842
5.0,0.28853979201,260.0,6.255762378964565,4.2462486502878845,8.164821940667915,4.7900900231784815,7.83346165,4.69876766
5.0,0.28853979201,270.0,6.2027418925046565,4.151673613887792,8.118752687388877,4.697812863185973,7.78189509,4.60290997
5.0,0.28853979201,280.0,6.15047303430681,4.058295106774766,8.077125585798209,4.610680580842114,7.73458955,4.51189278
5.0,0.28853979201,290.0,6.100491941921417,3.9689059529525506,8.040773699854531,4.531075864514055,7.69282464,4.42821588
5.0,0.28853979201,300.0,6.0542345243180735,3.8860906428096227,8.010367486689253,4.461203525174011,7.65802441,4.354165
5.0,0.28853979201,310.0,6.013059234210207,3.8121278645276715,7.987059677261951,4.402943452926885,7.63117455,4.29174345
5.0,0.28853979201,320.0,5.978142527376562,3.749003550300153,7.9714737110082625,4.35782065421506,7.61295461,4.24258125
5.0,0.28853979201,330.0,5.950522505818852,3.698290174621775,7.964186414087131,4.3269890247842095,7.60374867,4.20790391
5.0,0.28853979201,340.0,5.930859233556271,3.6612989407633045,7.965758570091748,4.311391638929089,7.60384597,4.18856358
5.0,0.28853979201,350.0,5.9197393101955855,3.6389068839940752,7.9763668765791556,4.311451038054304,7.61338604,4.18505892
5.0,0.326110072682,0.0,13.63330675600842,4.887080692021442,17.996639817824718,5.685229649297198,17.1717276,5.58219812
5.0,0.326110072682,10.0,13.651478819542566,4.8974265567736,18.05717026796609,5.722492501727999,17.2354224,5.61692612
5.0,0.326110072682,20.0,13.688347035823066,4.926379839542245,18.1319767561593,5.776935425719341,17.3166091,5.67021235
5.0,0.326110072682,30.0,13.742519213458015,4.973410764949157,18.21812977253759,5.846977222117405,17.4128331,5.74072385
5.0,0.326110072682,40.0,13.812205660371106,5.037414150544198,18.3116356374786,5.93248836260818,17.5217292,5.82638406
5.0,0.326110072682,50.0,13.895997476353605,5.116291946594141,18.40978276765892,6.029824805673333,17.6403224,5.92430297
5.0,0.326110072682,60.0,13.99124171942877,5.2077990937427305,18.509129755775124,6.136797334358529,17.7650138,6.0316765
5.0,0.326110072682,70.0,14.094740597139054,5.309684878165947,18.60439782804012,6.248271508046259,17.8924454,6.14527902
5.0,0.326110072682,80.0,14.203114222676426,5.419252555256754,18.69518654840025,6.361016711392714,18.0195811,6.2615475
